stream_code,career_outcome_code,relationship_type,version,source_document
HUM-STR-PERF-INSTMUSI,CAR-HUM-PERF-INSTMUSI-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PERF-INSTMUSI,CAR-HUM-PERF-INSTMUSI-02,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PERF-MUSIPRAC,CAR-HUM-PERF-MUSIPRAC-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PERF-THEAANDPERF,CAR-HUM-PERF-THEAANDPERF-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-VIS-ARTEDUC,CAR-HUM-VIS-ARTEDUC-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-VIS-CRAFANDMATEARTS,CAR-HUM-VIS-CRAFANDMATEARTS-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-VIS-EXPRANDTHERARTS,CAR-HUM-VIS-EXPRANDTHERARTS-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-VIS-FINEARTSPRAC,CAR-HUM-VIS-FINEARTSPRAC-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-VIS-ILLUANDVISUCOMM,CAR-HUM-VIS-ILLUANDVISUCOMM-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-VIS-TRADVISUARTS,CAR-HUM-VIS-TRADVISUARTS-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-VIS-TRADVISUARTS,CAR-HUM-VIS-TRADVISUARTS-02,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-ASIALANGSTUD,CAR-HUM-TRANS-ASIALANGSTUD-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-DIGIMEDIANDCONT,CAR-HUM-TRANS-DIGIMEDIANDCONT-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-FORELANGSTUD,CAR-HUM-TRANS-FORELANGSTUD-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-LANGSERV,CAR-HUM-TRANS-LANGSERV-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-LANGSERV,CAR-HUM-TRANS-LANGSERV-02,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-LANGSERV,CAR-HUM-TRANS-LANGSERV-03,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-LANGTEACANDTRAI,CAR-HUM-TRANS-LANGTEACANDTRAI-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
